,userName,score,clean_review,label
0,iyus muhamad yusuf,5,masya allah berkah selalu astro bukan hanya sebuah aplikasi sahaja namun sebuah karya yg dibuat dengan ketulusan jiwa dan kasih sayang untuk kami orng yg membutuhkan keperluan dengan cepat tanpa perlu susay payah banyak diskon dan ongkirpun terjangkau serta produk fresh jujur saya type orng yg males ngetik apalagi ngasih review tpi kali ini astro menggugah hati saya sepertinya bintang tidak cukup menggambarkan terimakasih saya astro semoga berjaya semoga produknya makin beragam,1
1,Sylvia YN,5,sangat puas pakai aplikasi ini membantu memenuhi kebutuhan sehari produk cukup lengkap meski kadang ada stock yg kosong gk jd masalah krn banyak diskon n free ongkir pelayanan dan pengiriman cepat drivernya ramah smoga pelayanannya terus ditingkatkan sukses slalu utk astro n team,1
2,Aqiella Jihan Ramadhani,1,kalo driver dpt orderan kasih waktu pengambilan atau menit jangan langsung di cancel gitu aja kalo posisi driver lagi jauh kan kasihan apa emang sengaja biar yg dapat orderan driver yg mangkal disitu saja tidak boleh driver dari luar,0
3,Shabo 07,5,aplikasi keren fitur lengkap pengiriman cepat bgt ga ribet cocok buat kaum yang margeran,1
4,Nur Afifah,5,keren pengiriman tercepat dari semua aplikasi semoga konsisten yaa banyakin lagi produknya juga thank youu,1
5,Diskon Lagi (yanglagidiskon),1,orderan grab xpress ke kent wilim apartemen regata no telp astro tidak bisa di hubungin maen order cancel sampai x tanpa jeda komplain leader lepas tangan ngaku bukan dia yg order tapi cs astro malah nyuruh saya ke gedung astro telp cs astro sedangkan no telp astro saja tidak bisa dihubungi pakai no telp yang bisa di hubungin driver tapi tiba maen nyuruh berangkat biar gak kena sanksi waktu benahi sistem dan attitude pengorder entah cs entah malah leader yg bohong,0
6,razhy,1,proses refund untuk buah yang kondisinya buruk aja susah nya minta ampun katanya bakal di kasih kompensasi untuk itikad baik tapi sampai sekarang nihil gaada tuh dikasi saldo refund pdhl udh nunggu berhari,0
7,Desi Fani,5,aplikasi astro ini memudahkan banget buat aku yang gaada waktu buat belanja keluar pelayanan juga oke banget udh gitu pesenannya gercep bangett sat set sat set ditambah lengkap banget guyss selain itu barang di terima itu dalam keadaan okee banget no lecet udah gitu aplikasinya anti lag dan tampilannya kece juga,1
8,Hallymah,5,bagus bngt sih buat yg mager ke mana dan mepet bngt kalo butuh barang makanan cemilan dsb ini apl cocok bngt gercep gak nyampe menit langsung nyampe dan masih bnyak lagi pilihan lain,1
9,ADITYA SAPUTRA,5,bagus tapi yang dibutuhkan sering banget kehabisan padahal klo produk itu laku harusnya di adakan contoh gulaku kuning kg kosong terus itu sih saran ku yang lain bagus dan klo bisa lebih diperbanyak lg kuantitas dan jenisnya lagi terima kasih sukses astro,1
